# id, x, y, group_0, group_1, intens_0, intens_1, dissimil
2303956001001,1225722.77656,9521242.44276,65.7328145266,29.9092088197,65.7328145266,29.9092088197,0.000106315972707
2304004001001,974738.044712,9596195.81544,52.967829633,38.2419574082,52.967829633,38.2419574082,0.000545214437945
2304103003001,979421.303623,9425942.20017,58.1222056632,37.1833084948,58.1222056632,37.1833084948,0.000385014084035
2304103003002,996337.704037,9427052.91877,56.1379310345,32.275862069,56.1379310345,32.275862069,0.000209563414764
2304103003003,980386.921529,9424595.72497,54.8370672098,37.8309572301,54.8370672098,37.8309572301,0.000485909514495
2304103003004,967253.214632,9422564.51049,71.7864476386,24.1889117043,71.7864476386,24.1889117043,0.000494200108564
2304202003001,1106326.70491,9205168.46342,69.9375,21.4375,69.9375,21.4375,0.000576427558817
2304202003002,1108356.62504,9180979.51748,63.1809643081,28.2404508453,63.1809643081,28.2404508453,0.000124836262444
2304202003003,1119400.93655,9208073.99217,62.6642771804,26.523297491,62.6642771804,26.523297491,0.000190120878861
2304202003004,1115916.89563,9197962.94711,59.8946135831,28.0444964871,59.8946135831,28.0444964871,6.15507253527e-05
2304202003005,1120254.26601,9196420.22855,55.3846153846,36.9963369963,55.3846153846,36.9963369963,0.000436673051391
2304202003006,1116209.18723,9195640.29162,55.0637393768,36.8626062323,55.0637393768,36.8626062323,0.000437739520194
2304236001001,946959.246569,9513743.11632,70.802919708,23.7080291971,70.802919708,23.7080291971,0.000494097928232
2304251001001,1020493.35236,9678485.18716,62.5334522748,31.3113291704,62.5334522748,31.3113291704,2.63594337057e-05
2304269001001,1135721.83288,9345976.59973,62.1972829297,35.380980508,62.1972829297,35.380980508,0.000215290553742
2304277001001,1241502.03113,9334405.06958,52.5946704067,37.914913511,52.5946704067,37.914913511,0.000538802350403
2304285003001,1230412.12417,9570654.78675,64.2604074402,28.9193976971,64.2604074402,28.9193976971,0.000118204210076
2304285003002,1226070.70222,9567370.13113,54.8780487805,34.4947735192,54.8780487805,34.4947735192,0.000336170989694
2304301001001,1103195.42888,9232203.38387,63.0094847475,29.7359651371,63.0094847475,29.7359651371,5.43571045204e-05
2304350001001,1030510.97577,9575055.45276,63.0668536699,30.1542776999,63.0668536699,30.1542776999,3.69519004729e-05
2304400005002,1223059.11082,9584183.40266,36.8016401845,60.7380830343,36.8016401845,60.7380830343,0.00190317410673
2304400005006,1214276.79188,9587951.23277,66.3903743316,26.6042780749,66.3903743316,26.6042780749,0.000268173890645
2304400005009,1216552.31953,9586593.536,61.6367265469,32.375249501,62.4100740318,30.3410639039,1.44171698581e-05
2304400005010,1220353.90814,9585468.37302,53.1452087008,40.6231628454,53.1452087008,40.6231628454,0.000647561744445
2304400005011,1227915.79413,9582244.16507,46.017699115,47.7876106195,46.017699115,47.7876106195,0.00112341158014
2304400005012,1216512.66529,9587467.11727,63.1834215168,28.3068783069,62.4100740318,30.3410639039,1.40304591859e-05
2304400005016,1220148.44319,9583016.34931,37.9063719116,58.7126137841,37.9063719116,58.7126137841,0.0017885972276
2304400005017,1214483.0428,9586101.48474,63.544500583,31.9860085503,63.544500583,31.9860085503,3.43001250997e-05
2304400005018,1218167.25642,9585611.68256,59.9799398195,35.0050150451,59.9799398195,35.0050150451,0.000247115357174
2304400005019,1218821.32921,9582307.88032,52.2313010685,43.6203645506,52.2313010685,43.6203645506,0.000801309099957
2304400005022,1222171.36022,9583188.1665,42.8886438809,54.0793825799,42.8886438809,54.0793825799,0.00147269270268
2304400005024,1223302.65513,9585286.58583,31.2862108922,66.8597914253,31.2862108922,66.8597914253,0.00229717082552
2304400005027,1226161.25753,9584253.81607,46.261682243,49.0186915888,46.261682243,49.0186915888,0.00117298751635
2304400005029,1216922.26875,9584039.45005,51.6267648864,43.9533456108,51.6267648864,43.9533456108,0.000829414481455
2304400005033,1216165.45354,9585143.75064,52.7777777778,43.6247723133,52.7777777778,43.6247723133,0.000789528470369
2304400005034,1218090.17549,9583342.10661,52.4555903866,43.3124346917,52.4555903866,43.3124346917,0.000782655324377
2304400005035,1222422.55407,9582091.79414,56.3524590164,40.9836065574,56.3524590164,40.9836065574,0.000593348391521
2304400005037,1226728.92246,9585991.94295,61.419939577,32.3262839879,61.419939577,32.3262839879,9.6045731168e-05
2304400005039,1211822.18359,9586951.25287,60.3773584906,34.9334073252,60.3773584906,34.9334073252,0.000235210322115
2304400005040,1213571.09556,9584087.95354,53.3366783743,40.0401404917,53.3366783743,40.0401404917,0.000617354324088
2304400005041,1213107.53015,9582497.84373,64.0160183066,29.8627002288,64.0160183066,29.8627002288,7.07634191644e-05
2304400005044,1211761.73115,9581687.70777,61.0438990667,32.3885240235,61.0438990667,32.3885240235,0.000107064285951
2304400005045,1213690.0298,9581172.54788,57.5798470535,34.3229869546,57.5798470535,34.3229869546,0.000269290872434
2304400005048,1212324.16912,9585163.26174,60.7367475292,32.9290206649,60.7367475292,32.9290206649,0.000137909897048
2304400005049,1225694.66088,9576138.10437,61.3776137761,31.7343173432,61.3776137761,31.7343173432,7.05634290955e-05
2304400005050,1223332.77191,9570182.47458,63.3304940375,28.7478705281,63.3304940375,28.7478705281,0.000105475551371
2304400005051,1222384.36617,9575973.1016,62.0363062352,30.8208366219,62.0363062352,30.8208366219,1.53727092229e-05
2304400005058,1224466.30702,9579882.33027,47.0779220779,49.9350649351,47.0779220779,49.9350649351,0.00119598079916
2304400005061,1221722.39222,9572822.69519,65.3562653563,30.7534807535,65.3562653563,30.7534807535,6.03967404344e-05
2304400005062,1223142.01062,9578570.33352,57.5690115761,37.4443455031,57.5690115761,37.4443455031,0.000408784478942
2304400005063,1229011.30401,9575441.47928,61.2169066419,31.6302833256,61.2169066419,31.6302833256,6.94443225907e-05
2304400005064,1227434.58955,9579197.81018,64.6532438479,28.1879194631,64.6532438479,28.1879194631,0.000159448242061
2304400005065,1224007.22518,9574272.03752,56.291706387,39.2755004766,56.291706387,39.2755004766,0.000518474570437
2304400005072,1211905.0517,9577940.96857,64.908616188,30.182767624,64.908616188,30.182767624,7.60472578687e-05
2304400005073,1213511.61502,9579496.75591,55.83628095,38.9085396665,55.83628095,38.9085396665,0.000512084682597
2304400005074,1211951.8964,9576178.92334,61.022239563,30.9793211081,61.022239563,30.9793211081,4.46689000424e-05
2304400005076,1212576.41746,9575017.72317,60.2108768036,32.7413984462,60.2108768036,32.7413984462,0.000141064979854
2304400005078,1210140.75449,9578761.46066,67.3989799922,26.7948214986,67.3989799922,26.7948214986,0.000281778878599
